base_seed,gate_seed,budget,layer,decisions,proxy_mlp_minus_margin,mlp_fraction_k2,margin_fraction_k2,mlp_recall_top5,margin_recall_top5,mlp_recall_top10,margin_recall_top10,recall_top10_difference,mlp_mean_selected_delta,margin_mean_selected_delta,layer_delta_mean,layer_delta_p90,layer_entropy_mean
603,11,1.3,5,25600,0.00041095133870840074,0.281328125,0.4169921875,0.553125,0.79296875,0.49375,0.719921875,-0.22617187500000002,0.020756151437163518,0.014988867158912105,0.007129549086093903,0.125,1.5754474972863681
603,22,1.1,1,25600,-0.001778155006468296,0.1402734375,0.069296875,0.36640625,0.24375,0.30703125,0.1890625,0.11796874999999998,0.0410029688309043,0.05733984943979085,0.012989947274327278,0.150390625,1.505511793870246
603,22,1.1,3,25600,-0.0001482030376791954,0.0955859375,0.0817578125,0.32265625,0.3453125,0.27578125,0.25703125,0.01874999999999999,0.0716662638811954,0.08197484469789668,0.01514998685568571,0.15625,1.4164097726013278
603,22,1.1,5,25600,0.0016123808920383454,0.057265625,0.1464453125,0.2328125,0.41015625,0.17265625,0.339453125,-0.166796875,0.0360862398863164,0.025121199922518402,0.007129549086093903,0.125,1.5754474972863681
603,22,1.2,1,25600,-0.002249508425593376,0.273125,0.152265625,0.52109375,0.425,0.454296875,0.333984375,0.12031249999999999,0.030216251685362933,0.03942653055127429,0.012989947274327278,0.150390625,1.505511793870246
603,22,1.2,3,25600,-0.00041259057819843293,0.1999609375,0.1623828125,0.47265625,0.5515625,0.42109375,0.44140625,-0.02031250000000001,0.048295503762765514,0.05693104762081232,0.01514998685568571,0.15625,1.4164097726013278
603,22,1.2,5,25600,0.0021655017137527464,0.1204296875,0.2853515625,0.36171875,0.659375,0.297265625,0.578515625,-0.28125,0.030413879731085794,0.020424754973717704,0.007129549086093903,0.125,1.5754474972863681
603,22,1.3,1,25600,-0.0015766696631908416,0.3943359375,0.2423828125,0.60859375,0.571875,0.55546875,0.46484375,0.09062499999999996,0.023497815295101806,0.031724045451469327,0.012989947274327278,0.150390625,1.505511793870246
603,22,1.3,3,25600,-0.0005525079742074013,0.3048828125,0.243671875,0.58984375,0.70390625,0.529296875,0.58828125,-0.05898437499999998,0.038739796405721366,0.04620389657052674,0.01514998685568571,0.15625,1.4164097726013278
603,22,1.3,5,25600,0.0014911426603794098,0.1959765625,0.4169921875,0.47109375,0.79296875,0.408984375,0.719921875,-0.31093750000000003,0.024284015311077104,0.014988867158912105,0.007129549086093903,0.125,1.5754474972863681
603,33,1.1,1,25600,-0.0016699521616101265,0.096328125,0.069296875,0.3140625,0.24375,0.24765625,0.1890625,0.05859375,0.05858542913357997,0.05733984943979085,0.012989947274327278,0.150390625,1.505511793870246
603,33,1.1,3,25600,-0.0017950598523020745,0.128125,0.0817578125,0.41640625,0.3453125,0.346875,0.25703125,0.08984375,0.0663191713937899,0.08197484469789668,0.01514998685568571,0.15625,1.4164097726013278
603,33,1.1,5,25600,0.0012858407199382782,0.0704296875,0.1464453125,0.26015625,0.41015625,0.197265625,0.339453125,-0.14218750000000002,0.0339777349301728,0.025121199922518402,0.007129549086093903,0.125,1.5754474972863681
603,33,1.2,1,25600,-0.0021519281715154646,0.196640625,0.152265625,0.484375,0.425,0.400390625,0.333984375,0.06640625,0.04147278054820482,0.03942653055127429,0.012989947274327278,0.150390625,1.505511793870246
603,33,1.2,3,25600,-0.0019949913024902345,0.2451953125,0.1623828125,0.58203125,0.5515625,0.50703125,0.44140625,0.06562500000000004,0.045839436403292466,0.05693104762081232,0.01514998685568571,0.15625,1.4164097726013278
603,33,1.2,5,25600,0.0021418652683496474,0.1553125,0.2853515625,0.3984375,0.659375,0.34375,0.578515625,-0.23476562499999998,0.023735182146191358,0.020424754973717704,0.007129549086093903,0.125,1.5754474972863681
